Job Title,Company,City,Experience Level,Industry,Skills Required,Remote,Job Postings Count,Salary (LPA)
Senior Data Analyst,Deloitte,Delhi,Mid (3-5 yrs),IT Services,"Python, JIRA, Communication, Tableau, Power BI",Hybrid,17,14.9
Data Analyst,MakeMyTrip,Hyderabad,Senior (5+ yrs),EdTech,"Python, Communication, Spark",Hybrid,3,16.6
Data Scientist,Deloitte,Bangalore,Senior (5+ yrs),Logistics,"JIRA, Excel, NumPy, Machine Learning, ETL, Power BI, Google Analytics",Yes,8,30.5
Business Analyst,Reliance Jio,Delhi,Fresher (0-1 yr),Retail,"Tableau, R, Communication, Statistics, Pandas, Power BI, SQL",No,4,6.3
Business Analyst,Reliance Jio,Kolkata,Junior (1-3 yrs),Retail,"Communication, SQL, JIRA, AWS",Yes,20,9.6
Junior Data Analyst,Razorpay,Delhi,Junior (1-3 yrs),Banking & Finance,"Excel, NumPy, Storytelling, Pandas, Power BI, Azure, ETL",Yes,5,8.8
Senior Data Analyst,HDFC Bank,Hyderabad,Senior (5+ yrs),EdTech,"Azure, Data Visualization, ETL, Tableau, Statistics, SQL, Google Analytics",Yes,17,22.4
Operations Analyst,Tech Mahindra,Gurgaon,Junior (1-3 yrs),Logistics,"Excel, Machine Learning, Data Visualization, Azure, AWS, R, NumPy",Yes,22,9.1
Senior Data Analyst,Paytm,Gurgaon,Junior (1-3 yrs),EdTech,"Communication, Tableau, ETL, Data Visualization, Hadoop",No,45,6.3
Product Analyst,Axis Bank,Hyderabad,Mid (3-5 yrs),EdTech,"Python, Data Visualization, Statistics, JIRA",No,40,15.8
Marketing Analyst,HDFC Bank,Hyderabad,Mid (3-5 yrs),Banking & Finance,"Pandas, ETL, Tableau, Data Visualization, Azure, Statistics",Yes,25,10.9
Data Analyst,Flipkart,Mumbai,Mid (3-5 yrs),Banking & Finance,"ETL, NumPy, Azure, Power BI, R, Data Visualization",Hybrid,18,9.2
Data Analyst,Amazon India,Gurgaon,Senior (5+ yrs),Logistics,"Excel, Pandas, Tableau, Machine Learning, Communication, ETL, Data Visualization",No,45,29.8
Senior Data Analyst,Axis Bank,Bangalore,Junior (1-3 yrs),IT Services,"Excel, Python, Google Analytics",Yes,11,8.1
Business Analyst,Nykaa,Pune,Fresher (0-1 yr),Healthcare,"Communication, Storytelling, Spark",No,9,6.0
Business Analyst,Axis Bank,Chennai,Junior (1-3 yrs),IT Services,"Machine Learning, SQL, JIRA, Pandas, Azure, Data Visualization, Spark",Yes,38,8.9
Operations Analyst,Swiggy,Bangalore,Senior (5+ yrs),Banking & Finance,"ETL, Spark, Statistics, NumPy",Yes,30,33.6
Product Analyst,Paytm,Chennai,Mid (3-5 yrs),Banking & Finance,"AWS, Google Analytics, Communication, Excel",Hybrid,8,15.8
Data Analyst,Amazon India,Bangalore,Senior (5+ yrs),Logistics,"ETL, Google Analytics, Python, Statistics, R, Spark",Yes,9,31.3
Operations Analyst,Cognizant,Delhi,Mid (3-5 yrs),Banking & Finance,"Tableau, AWS, R, JIRA, Storytelling, ETL, Communication",Yes,21,14.0
Business Analyst,PhonePe,Pune,Senior (5+ yrs),Retail,"ETL, SQL, Statistics, Azure, JIRA, Communication",No,10,34.1
Operations Analyst,IBM India,Kolkata,Fresher (0-1 yr),Banking & Finance,"ETL, Statistics, SQL, Machine Learning, Storytelling",Hybrid,49,6.3
Marketing Analyst,Reliance Jio,Noida,Mid (3-5 yrs),Banking & Finance,"Azure, AWS, SQL, JIRA, Data Visualization, Google Analytics",No,38,11.6
Business Analyst,Swiggy,Kolkata,Mid (3-5 yrs),Logistics,"Pandas, Storytelling, JIRA, R, Spark, Data Visualization, Machine Learning",Hybrid,27,17.9
Financial Analyst,IBM India,Gurgaon,Junior (1-3 yrs),Logistics,"Communication, Excel, Google Analytics, Pandas, Spark",Yes,41,7.7
Product Analyst,Nykaa,Pune,Senior (5+ yrs),Logistics,"Google Analytics, Spark, ETL, JIRA",Hybrid,29,24.1
Data Scientist,Zomato,Bangalore,Junior (1-3 yrs),Banking & Finance,"Azure, Python, Google Analytics, Tableau, AWS, Excel",No,43,8.6
Data Analyst,Infosys,Chennai,Senior (5+ yrs),E-Commerce,"Excel, Google Analytics, Pandas, Machine Learning",Yes,8,30.6
Junior Data Analyst,Amazon India,Pune,Fresher (0-1 yr),E-Commerce,"R, Storytelling, ETL, Power BI",Hybrid,34,3.9
Marketing Analyst,MakeMyTrip,Delhi,Junior (1-3 yrs),EdTech,"Hadoop, Data Visualization, Power BI, Azure",Hybrid,34,9.8
BI Analyst,HDFC Bank,Bangalore,Mid (3-5 yrs),Retail,"Azure, Machine Learning, R, Hadoop, Python, Power BI",No,16,13.2
Data Scientist,PhonePe,Delhi,Fresher (0-1 yr),E-Commerce,"Tableau, Communication, R",Hybrid,37,6.5
Junior Data Analyst,Swiggy,Pune,Senior (5+ yrs),IT Services,"Google Analytics, SQL, Tableau, Communication",No,31,20.5
Business Analyst,Swiggy,Mumbai,Mid (3-5 yrs),Retail,"Pandas, R, Google Analytics, Spark",No,43,17.2
BI Analyst,Razorpay,Delhi,Senior (5+ yrs),Retail,"Communication, Python, NumPy, Excel, Machine Learning, Statistics, JIRA",Yes,32,21.3
Senior Data Analyst,Ola,Noida,Mid (3-5 yrs),Retail,"Azure, R, Statistics, Hadoop, Tableau, Spark",No,18,15.1
Senior Data Analyst,Tech Mahindra,Noida,Senior (5+ yrs),Retail,"R, Google Analytics, Pandas, Storytelling, Data Visualization, AWS, Statistics",No,21,21.2
Marketing Analyst,HDFC Bank,Gurgaon,Mid (3-5 yrs),EdTech,"Communication, Excel, Statistics, Spark, Google Analytics, Storytelling, SQL",Hybrid,50,18.0
Senior Data Analyst,Infosys,Noida,Senior (5+ yrs),Healthcare,"Machine Learning, Google Analytics, Communication",No,47,30.7
BI Analyst,Tech Mahindra,Delhi,Junior (1-3 yrs),Logistics,"Tableau, Power BI, R, Azure, SQL, AWS",No,31,6.5
BI Analyst,ICICI Bank,Hyderabad,Mid (3-5 yrs),Banking & Finance,"Google Analytics, Power BI, Excel, Azure, Tableau, AWS, NumPy",Hybrid,15,14.1
Product Analyst,Reliance Jio,Gurgaon,Mid (3-5 yrs),Logistics,"Python, Hadoop, Google Analytics, Communication, ETL, JIRA, Storytelling",Yes,6,9.3
Data Scientist,Amazon India,Gurgaon,Junior (1-3 yrs),E-Commerce,"Hadoop, Statistics, Azure, Spark, ETL, NumPy, Google Analytics",Yes,17,6.4
Data Analyst,HCL Technologies,Delhi,Senior (5+ yrs),Logistics,"Power BI, Hadoop, Tableau, Pandas, Azure, Spark, Storytelling",Yes,50,21.1
Financial Analyst,Paytm,Kolkata,Mid (3-5 yrs),IT Services,"NumPy, JIRA, Hadoop",Hybrid,19,11.3
